lib_id,contains_non_Culicidae_COI,species,is_contaminated,snp_count,mean_frequency,mean_depth
19BJKW1832,yes,Armigeres subalbatus,no,0,0,0
19BJKW1836,yes,Armigeres subalbatus,no,0,0,0
19GDAW1962,yes,Anopheles sinensis,no,0.6150061500615006,0.37988826815642457,68
19GDAW2126,yes,Anopheles sinensis,no,0,0,0
19GDAW2128,yes,Anopheles sinensis,no,0,0,0
19GDSDH1939,yes,Culex tritaeniorhynchus,no_but_species_uncertain,0,0,0
19GDSR1954,yes,Armigeres subalbatus,no,0,0,0
19GDSR1955,yes,Armigeres subalbatus,no,0.6357279084551812,0.07172995780590717,17
19GDSR1956,yes,Armigeres subalbatus,no,0,0,0
19GDSR2125,yes,Armigeres subalbatus,no,0,0,0
19HEBAW2017,yes,Anopheles sinensis,no_but_species_uncertain,0,0,0
19HEBAW2019,yes,Anopheles sinensis,no,0.6273525721455457,0.4705882352941176,8
19HEBAW2022,yes,Anopheles sinensis,no_but_species_uncertain,0,0,0
19HEBBM1994,yes,Ochlerotatus caspius,no_but_species_uncertain,0,0,0
19HEBSR2008,yes,Aedes vexans,no_but_species_uncertain,0,0,0
19HEBSR2011,yes,Ochlerotatus caspius,no_but_species_uncertain,0,0,0
19HEBSR2013,yes,Ochlerotatus caspius,no_but_species_uncertain,0,0,0
19HEBSR2014,yes,Aedes vexans,no_but_species_uncertain,0,0,0
19HENAW1989,yes,Anopheles sinensis,no,0,0,0
19HENAW1990,yes,Anopheles sinensis,no,0.6020469596628537,0.13636363636363635,6
19HENKW2140,yes,Culex pipiens,no,0,0,0
19HENSDH2142,yes,Culex tritaeniorhynchus,no_but_species_uncertain,0,0,0
19HENSDH2143,yes,Culex tritaeniorhynchus,no,0,0,0
19HENSR1987,yes,Armigeres subalbatus,no,0,0,0
19HUNAW0975,yes,Anopheles sinensis,no,0,0,0
19HUNAW0979,yes,Anopheles sinensis,no,0,0,0
19HUNAW0980,yes,Anopheles sinensis,no,0,0,0
19HUNSDH0958,yes,Culex tritaeniorhynchus,no,2.4024024024024024,0.05025125628140704,10
19HUNSDH0960,yes,Culex tritaeniorhynchus,no,0,0,0
19JHSKW1781,yes,Culex pipiens,no,0,0,0
19JXSDH0914,yes,Culex tritaeniorhynchus,no,0,0,0
19LCFBCAW1642,yes,Anopheles pseudopictus/Anopheles sinensis,yes,1.150747986191024,0.14814814814814814,20
19LCFBCAW1643,yes,Anopheles sinensis,no,0.585480093676815,0.06286484059272564,140
19LCHGMKW1603,yes,Culex quinquefasciatus,no,7.439553626782393,0.18467364716786647,107.75
19LCHGMKW1604,yes,Culex quinquefasciatus,no,10.948905109489052,0.22507412844725985,116
19LCMBCAW1655,yes,Anopheles sinensis,no,0,0,0
19LCMBCSDH1650,yes,Culex tritaeniorhynchus,no,0,0,0
19LCMBCSDH1652,yes,Culex tritaeniorhynchus,no,3.6429872495446265,0.0516995957244819,19.833333333333332
19LCMBCSDH1654,yes,Culex tritaeniorhynchus,no,0,0,0
19MHDMCLYW1663,yes,Aedes albopictus,no,0,0,0
19MHDMCLYW2162,yes,Aedes albopictus,no_but_species_uncertain,4.9597024178549285,0.17802173269563343,48.625
19MHMHCAW1690,yes,Anopheles sinensis,no,1.189767995240928,0.2395760852111545,70.5
19MHMHCAW1691,yes,Anopheles sinensis,no,0,0,0
19MHMHCAW1693,yes,Anopheles sinensis,no,0,0,0
19MHMHCAW1697,yes,Anopheles sinensis,no,5.698005698005698,0.29808260629724975,22.2
19MHMHCAW1701,yes,Anopheles sinensis,no,0,0,0
19MHMHCSDH1671,yes,Culex tritaeniorhynchus,no,4.270896888346553,0.06132840128601007,73.28571428571429
19MHMHCSDH1672,yes,Culex tritaeniorhynchus,no,0,0,0
19MHMHCSDH1675,yes,Culex tritaeniorhynchus,no,0,0,0
19MHMHCSDH1677,yes,Anopheles sinensis/Culex tritaeniorhynchus,yes,68.45407872219053,0.2651215717954369,111.9
19MHMHCSDH1687,yes,Culex tritaeniorhynchus,no_but_species_uncertain,3.050640634533252,0.2092406236651895,11.6
19MHMHCSDH2172,yes,Culex tritaeniorhynchus,no,0,0,0
19MHMHCSR1688,yes,Armigeres subalbatus,no,1.5467904098994587,0.15368852459016394,7
19MHMZJZAW1739,yes,Anopheles sinensis,no,0,0,0
19MHMZJZAW1744,yes,Anopheles sinensis,no,0.5970149253731344,0.05421686746987952,9
19MHMZJZAW1748,yes,Anopheles sinensis,no,0,0,0
19MHMZJZAW1749,yes,Anopheles sinensis,no,0.6238303181534622,0.0707070707070707,7
19MHMZJZAW1756,yes,Anopheles sinensis,no,0,0,0
19MHMZJZKW1706,yes,Culex tritaeniorhynchus,no,0,0,0
19MHMZJZKW1707,yes,Culex quinquefasciatus,no,8.880994671403197,0.13460577238177554,81.26666666666667
19MHMZJZSDH1715,yes,Culex tritaeniorhynchus,no,0.5861664712778428,0.3940124858115778,2777
19MHMZJZSDH1716,yes,Culex tritaeniorhynchus,no,1.145475372279496,0.057750278266743,237
19MHMZJZSDH1718,yes,Culex tritaeniorhynchus,no,0,0,0
19MHMZJZSDH1723,yes,Culex tritaeniorhynchus,no,4.260499087035909,0.06333731266227705,35.285714285714285
19MHMZJZSR1736,yes,Armigeres subalbatus,no,2.457002457002457,0.12604458438550842,18.5
19NBBM2111,yes,Culex tritaeniorhynchus,no,0,0,0
19NBBM2113,yes,Culex tritaeniorhynchus,no,0,0,0
19NBSDH2094,yes,Culex tritaeniorhynchus,no,0.6369426751592356,0.43209876543209874,35
19NBSDH2095,yes,Culex tritaeniorhynchus,no,0.6583278472679394,0.05865921787709497,21
19NBSDH2096,yes,Culex tritaeniorhynchus,no,0,0,0
19NBSDH2098,yes,Culex tritaeniorhynchus,no,0,0,0
19NBSDH2099,yes,Culex tritaeniorhynchus,no,0.6798096532970768,0.1282051282051282,20
19NBSDH2100,yes,Culex tritaeniorhynchus,no,0,0,0
19NBSR2106,yes,Armigeres subalbatus,no,1.4114326040931546,0.06604395604395605,10
19NMKW0982,yes,Culex pipiens,no,0,0,0
19QDSDH2044,yes,Culex tritaeniorhynchus,no_but_species_uncertain,0,0,0
19SAXSDH1868,yes,Culex tritaeniorhynchus,no,0,0,0
19SAXSDH1869,yes,Culex tritaeniorhynchus,no_but_species_uncertain,0,0,0
19SCAW0878,yes,Anopheles sinensis,no,0,0,0
19SCAW0879,yes,Anopheles sinensis,no,0,0,0
19SCAW0880,yes,Anopheles sinensis,no,0,0,0
19SCAW0881,yes,Anopheles sinensis,no,0,0,0
19SCAW0882,yes,Anopheles sinensis,no,0,0,0
19SCAW0883,yes,Anopheles sinensis,no,0,0,0
19SCSDH0862,yes,Culex tritaeniorhynchus,no,0.5824111822947001,0.2010443864229765,154
19SCSR0873,yes,Armigeres subalbatus,no,1.2714558169103625,0.2503419972640219,145.5
19SXKW0910,yes,Culex pipiens,no,5.847953216374268,0.18154456679440023,13.88888888888889
19SYKW1002,yes,Culex quinquefasciatus,no,6.997084548104956,0.17856239552914557,22.5
19SYSDH1017,yes,Culex gelidus,no_but_species_uncertain,0,0,0
19SYYW0996,yes,Aedes albopictus,no,0,0,0
19SYYW0998,yes,Aedes albopictus,no,0,0,0
19WHAW1930,yes,Anopheles sinensis,no,0,0,0
19WHSR1913,yes,Armigeres subalbatus,no,0,0,0
19XJYW1040,yes,Ochlerotatus caspius,no,0,0,0
19XJYW1043,yes,Ochlerotatus caspius,no,1.977587343441002,0.22229344729344733,14.666666666666666
20AHAW0233,yes,Anopheles sinensis,no,5.975013579576317,0.12847297336480537,19.454545454545453
20AHAW0234,yes,Anopheles sinensis,no,7.18993409227082,0.12313087364352232,7.25
20AHAW0235,yes,Anopheles sinensis,no,1.1792452830188678,0.25,6
20AHAW0236,yes,Anopheles sinensis,no,5.190311418685121,0.06240673820218181,6.444444444444445
20AHAW0237,yes,Anopheles sinensis,no,1.1409013120365088,0.08824786324786325,10.5
20AHAW0238,yes,Anopheles sinensis,no,0,0,0
20AHAW0239,yes,Anopheles sinensis,no,0,0,0
20AHAW0241,yes,Anopheles sinensis,no,1.221001221001221,0.08893280632411067,6
20BJKW0481,yes,Culex pipiens,no,6.139677666922487,0.27292082917082916,6
20BJKW0483,yes,Culex quinquefasciatus,no,5.408653846153846,0.13284269133050694,22.77777777777778
20BJKW0486,yes,Culex quinquefasciatus,no,0,0,0
